log start...
09:41:18.018..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:18.535..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:19.052..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:19.568..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:20.084..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:20.600..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:21.116..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:21.629..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:22.145..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:22.661..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:23.178..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:23.695..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:24.211..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:24.728..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:25.244..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:25.758..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:26.274..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:26.790..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:27.305..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:27.823..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:28.340..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:28.856..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:29.371..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:29.887..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:30.405..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:30.922..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:31.435..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:31.951..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:32.467..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:32.983..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:33.500..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:34.016..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:34.534..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:35.051..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:35.568..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:36.081..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:36.604..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:37.127..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:37.640..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:38.154..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:38.672..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:39.187..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:39.701..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:40.219..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:40.737..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:41.255..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:41.770..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:42.286..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:42.804..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:43.319..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:43.834..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:44.350..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:44.866..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:45.383..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:45.896..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:46.413..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:46.930..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:47.443..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:47.959..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:48.477..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:48.996..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:49.514..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:50.033..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:50.554..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:51.072..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:51.590..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:52.110..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:52.625..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:53.144..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:53.665..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:54.184..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:54.704..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:55.217..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:55.731..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:56.244..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:56.761..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:57.276..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:57.793..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:58.310..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:58.826..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:59.342..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:59.858..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:00.374..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:00.891..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:01.413..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:01.936..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:02.456..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:02.972..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:03.487..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:04.001..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:04.517..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:05.030..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:05.546..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:06.060..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:06.580..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:07.094..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:07.608..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:08.126..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:08.647..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:09.162..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:09.679..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:10.196..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:10.714..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:11.227..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:11.746..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:12.264..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:12.780..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:13.298..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:13.817..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:14.337..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:14.853..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:15.368..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:15.886..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:16.403..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:16.920..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:17.436..[local]..get hq running..cli_thread_getlastPrice-1111
